idx,circle,diamond,egg,long,polygon,square,triangle,dating,career
S1,80,60,100,0,80,100,60,70,100
S2,60,60,100,100,100,80,60,100,50
S3,80,80,100,60,80,80,80,40,100
S4,100,80,100,0,80,100,80,90,90
S5,100,80,100,60,80,80,80,90,100
S6,0,60,60,80,80,100,60,110,0
S7,100,80,100,60,80,80,80,100,60
S8,100,80,100,0,80,100,80,100,90
D1,60,80,100,80,60,60,60,100,70
D2,100,100,80,100,100,100,80,100,0
D3,60,100,100,80,80,80,80,100,65
D4,0,80,80,100,60,0,80,100,80
D5,60,100,100,80,80,80,80,100,90
D6,100,80,100,0,100,100,80,80,100
E1,100,80,100,60,80,100,80,70,100
E2,0,80,80,100,60,0,80,100,65
E3,60,100,100,80,80,80,80,100,75
E4,80,80,100,0,60,60,60,90,100
E5,100,80,100,0,80,100,80,100,100
E6,100,80,100,80,100,80,80,60,60
E7,100,80,100,60,80,80,80,70,70
L1,60,100,100,100,80,80,80,85,85
L2,80,100,100,100,80,80,80,85,85
L3,60,80,80,100,60,60,80,100,70
L4,0,80,100,100,60,0,80,85,80
L5,80,100,100,100,80,80,80,100,80
L6,80,100,100,100,80,80,80,80,100
C1,100,80,100,60,80,80,80,70,80
C2,100,80,100,60,80,80,80,100,90
C3,80,100,100,80,80,80,80,110,55
C4,100,80,100,60,80,100,80,75,100
C5,100,80,100,60,80,80,80,100,90
C6,100,80,100,60,80,80,80,85,65
P1,60,80,100,100,100,100,80,100,80
P2,60,80,100,60,80,80,80,75,95
P3,60,60,100,100,100,80,60,95,50
P4,60,100,100,80,80,80,80,95,95
P5,60,80,100,100,100,100,80,95,85
P6,100,80,100,60,100,100,80,70,85
T1,60,80,100,100,100,80,100,100,80
T2,60,80,100,100,100,100,80,85,80
T3,80,80,100,60,100,100,80,90,85
T4,60,80,100,100,100,100,80,85,95
T5,100,80,100,80,100,80,80,95,50
T6,100,80,100,0,100,100,80,80,95
T7,100,80,100,60,80,80,80,90,90
T8,60,100,100,80,80,80,100,110,80
